N Most Frequent Words,d > 0.00 Female,d > 0.00 Male,d > 0.20 Female,d > 0.20 Male,d > 0.50 Female,d > 0.50 Male,d > 0.80 Female,d > 0.80 Male
N = 100,7 (7%),93 (93%),2 (3%),75 (97%),1 (6%),15 (94%),1 (14%),6 (86%)
"N = 1,000",226 (23%),774 (77%),117 (17%),578 (83%),37 (17%),178 (83%),17 (26%),49 (74%)
"N = 10,000",3503 (35%),6497 (65%),2343 (32%),5008 (68%),1229 (31%),2686 (69%),611 (34%),1187 (66%)
"N = 100,000",45033 (45%),54967 (55%),34170 (44%),43568 (56%),20671 (43%),27272 (57%),11373 (44%),14369 (56%)
