,female_effect_size,female_p_value
700,-0.48002329674473526,0.8212559711341945
Campbell,-0.3531460017750004,0.7589517822107298
ranging,-0.5045004027664193,0.8339956377264548
annoying,0.2015469992531295,0.33968115211627103
overcome,0.1902184520007339,0.36278218114376626
lease,-0.4613297919846298,0.8141462466827805
destruction,0.8770496996657969,0.04375427531949527
nicely,0.15050249912862418,0.38868022178567685
abroad,-0.2622107193827201,0.6942396718417259
flour,0.04408746604014176,0.46895391597416936
threw,-0.8752526044295172,0.9544065714975918
sponsored,-0.20099970344240933,0.6508023891629653
popularity,1.0378319796475677,0.02108701788156908
decrease,0.2748199375295296,0.2978101507985843
Healthy,0.08967914438364044,0.43008486983181393
ll,-0.914976748635418,0.9598081269993214
franchise,1.2840649894710938,0.006975987892014035
restrictions,0.3445368837322062,0.25008022134292685
HIV,-0.5831519136617046,0.8727197469245713
Costa,-0.31349355696172404,0.7361226213389398
founder,0.18374968602457115,0.36225191136384205
balanced,-1.0119789855557975,0.9759430152859354
Revolution,0.9033624764769405,0.039931697655252396
locked,-0.09426519846852174,0.5673136331544331
presidential,-0.9341822111985177,0.9655807803934698
tablet,0.4301197350725983,0.20208960686170785
Summit,-0.9232544006659024,0.96473254016059
Designs,0.7494135840560132,0.07809451470099771
financing,0.31770221765258144,0.2657193697776852
refers,-0.250062949339049,0.6844408372680753
Airlines,1.1382009658110108,0.014494329676984496
Projects,-0.7666156585771491,0.9337216781013129
resulted,-1.176364643199865,0.9875653674875104
recover,-0.21363491576112636,0.6607444524874023
oldest,0.5750615624755271,0.13139104652986433
realistic,0.5646880208121958,0.13594252554288677
movements,-0.2464927561136475,0.6863850320169104
unto,-1.50361424006338,0.9983980506541472
111,-1.0241376534081805,0.9755481260487322
Warning,0.00030659981092460997,0.49301929847070425
Partners,0.011975216659729709,0.4931077499674653
indoor,-0.10838239894170949,0.5796651946717775
140,-0.805237167790179,0.9403177274739248
Mens,-1.3484973672073866,0.9952024796129383
Leader,-0.6385251256630018,0.8913704858221978
Tampa,0.11712118443599767,0.4064275244925333
durable,1.0849585810681508,0.018321440078923446
concentration,0.2810466481419544,0.2940357004515932
horror,-0.015132800922127654,0.5152573842203918
asset,-0.7138395089530177,0.918782032261565
que,-0.7398080258683649,0.9269369254664046
collections,0.884468274410917,0.04233609644241454
Jump,-0.6348274468271784,0.8906105885980772
Brother,-0.8701139973301525,0.9537379533155274
commit,-0.8450483060402731,0.9504690996718708
Risk,-0.9227907185034758,0.9634836274595777
earnings,-0.30716018587904914,0.7178389181721565
nutrition,0.7287189516414191,0.07585664234696676
Height,0.12253651804460898,0.403077586061942
paintings,0.9851761691096635,0.02944589683736709
queries,0.8130111911385787,0.057983426447774766
costume,-0.018941257761133243,0.5146979128863425
courtesy,0.8887943011685443,0.042756032453193926
beans,-0.028422909328243474,0.5273396853281235
essays,-0.3768613438357139,0.7679081988477913
succeed,-0.4185468156932436,0.7929268343639293
divorce,0.9611872466811575,0.032753982798216175
Apartment,0.8327357281432345,0.053773289391848667
remarkable,-0.7452291995022563,0.9261319078965532
tail,-0.09588479109225952,0.5763546713130889
AL,-0.9313322349293615,0.964312819310204
slight,-0.31241581733773965,0.723762012021975
monster,-0.3032859533562333,0.7217911664781084
gathered,-0.315449355323175,0.7275624672162675
bother,-0.7327078879542682,0.9213904538506426
Additionally,-0.2148545516847596,0.6641678578426484
championship,-0.07230825835668046,0.5595701214167874
estimates,-0.7449990154849495,0.9256054058498265
----,-0.4570404898797505,0.8136006062145907
Trip,-0.6045089368341733,0.8764400730956969
fascinating,0.013044601992577577,0.4899310484880689
Twin,-0.4410416291822811,0.8040134308961117
Desktop,1.1197995861792225,0.015796790115780945
violent,-0.39760032536622614,0.7807286199043458
enjoyable,-0.16626822463381533,0.6253770225949713
drunk,-0.22532443482623274,0.6661730551878371
venture,0.6758561175035753,0.0974681683013684
cooked,-0.5783793228781314,0.8710589938885827
ridiculous,-0.4815857685529855,0.8257279413421612
reminds,-0.4308894191208366,0.79613456889655
console,0.25802109044120375,0.30057715602208857
trucks,0.2065560707206652,0.34148807018202054
Woods,-1.0035945571194975,0.9747078339644122
acquisition,0.8421122757542694,0.05189587298620191
involvement,-0.8832012488863457,0.9550738097134941
Switch,0.22706401676750546,0.3306154878540636
anger,-0.3273765871933839,0.7344465972642555
Indians,0.13005666412680938,0.4032597847595295
Birth,0.6002199934025203,0.12512754056173891
connecting,0.5470419861627015,0.1466651542452323
uploaded,-0.7317878211984913,0.9188204640181896
NCAA,-0.1481143207165471,0.6088000762128636
Kent,-0.7606794433309371,0.9275979155216476
Albert,-1.5361175204399171,0.9986193542358521
priced,-1.2929548009818448,0.9935448037230492
consistently,-0.5007861095240567,0.835061731299799
bay,-1.0068712984730277,0.9733063271552641
Chevrolet,0.4935886498984478,0.16337098625625857
conditioning,-0.635076260657851,0.8901356091663732
Roy,-1.4678928793872916,0.9975202557107551
aimed,-1.4959188702366721,0.9981102839773466
unlikely,0.05707606798877018,0.45532607715984286
outlet,-0.8753983360075356,0.9531253790877
facial,0.36217358597180915,0.24301806168539597
Carl,-1.3153298483709015,0.9939611240775709
champion,-0.520143995405873,0.8443250564728408
possibilities,0.6481902418908614,0.10569643200487633
nurse,1.751295855189444,0.00031800904743839453
transactions,0.9354458366596573,0.03429869695924748
identification,0.7998983211362989,0.05924410983961659
scary,0.019096393305292458,0.4873643624963875
Hosting,-0.7035518100450234,0.9177950436532982
thoroughly,-0.8310022308574326,0.9440944355512328
parks,-0.8059793707214841,0.9399738759012645
Hat,-0.9298853774615816,0.9628650043192706
gather,-0.1102425177770183,0.5764196954164085
Portable,0.08438783516707402,0.43832776572763354
babe,0.5034541254651411,0.162149817170407
4.0,0.6358597458419718,0.10900274886592021
depend,-0.47513769060826677,0.8230044631618076
aggressive,-0.5715736974064983,0.8660487354809862
importantly,-0.6334383150252629,0.8914664527613899
Train,-0.4306873141940803,0.8017240175994651
temperatures,-0.11380517436269674,0.5904243761733958
suicide,-0.07354311408199102,0.5536103629186011
documentary,0.03998118521135389,0.46441022281972155
T-Shirt,-0.18082004678691196,0.635334250535854
immigration,0.5310654414552781,0.15307038586231114
diversity,1.3234804217880782,0.004983460556013286
accomplished,-0.8038687939518007,0.9387802042747175
democracy,0.80765839826275,0.0575160008319856
relaxing,0.48294843946632726,0.1728449453249219
encounter,-0.040857046932092814,0.5255885229380397
bench,-0.4182690594455466,0.7924533223706456
Together,-0.08646223014795358,0.5597688513154689
Yoga,0.32161673950557307,0.27023621897594663
Factory,0.7546847490518838,0.07115788266339984
feeding,0.6229230871347017,0.11802233563231357
Eve,1.378549769136153,0.0037592498055524226
RT,-0.3320585104635329,0.7327503125675391
laughing,-0.055475460019732796,0.5503812178658473
Testing,-0.458352057091209,0.8103881028254998
fallen,-0.6114719577150329,0.886446094993439
ski,-0.16772458820819144,0.6327746807792379
fancy,1.0932482709288038,0.017696037840925993
deleted,0.21703684504772486,0.3346884133645134
Parking,-0.2483417927561258,0.6807544812736962
tower,0.5846028022917517,0.12952432651879142
Monster,-0.14903555409843736,0.6185306873974149
JavaScript,0.14989084871078706,0.3860509906252565
http,-0.6270392934486649,0.8861173791404902
specifications,0.6421109165103919,0.1071235864036515
Baker,-0.24244360550865734,0.6746467250244087
LP,-0.7555646047202996,0.9252256300984183
Maintenance,-0.09447565517083503,0.5718294017670182
authentic,0.10396988326084407,0.422530335848452
Problem,-0.6175411522820954,0.8849431113112485
overview,0.2618057288243976,0.30268124984565414
wing,0.20903734099308754,0.3492628792185136
sudden,-1.0069091729933082,0.9741551785495417
prevention,0.3149272702829477,0.2729378457632916
arrangement,-0.1318142086518972,0.5985153480491975
begun,-1.296155082909657,0.9941630295425609
passage,-0.0909804894770652,0.5692294736200278
gathering,0.6656187754535376,0.09929091613749841
Die,-0.719672211866614,0.9154646734174259
Philippines,0.6913823710353201,0.09026285394166411
vol,-1.299435490593477,0.9936004013739286
import,-0.7499917370865455,0.9251741449451222
labels,0.3184091695934965,0.2734827395773394
theatre,0.28729175554997716,0.29093586137644367
stopping,-0.1595802702970601,0.6118960250327932
profiles,-0.23958414497803485,0.6753086140355825
painful,-0.512695459679711,0.8400630889718687
spam,-0.37936301537264994,0.77004939099232
Bookmark,0.1761946631362926,0.37787517376267155
edges,-0.05350997589373643,0.5353413331328412
killer,-0.3023537428930996,0.7251490340300162
makeup,1.0700222092646094,0.018298482571265984
gambling,-0.34744825501802185,0.750401229378685
4.5,0.4894403740850866,0.1694506182022486
quantity,0.1377398675620042,0.3938523400610552
footage,-0.2636977537101246,0.6932752842887945
plates,0.27810868321922527,0.2973251518184812
Murray,-1.2656624777330925,0.9922492333595149
Minutes,0.054178146677959574,0.45494565147401733
crimes,-0.39530077877138164,0.78404844501139
Arms,-0.5778600980273536,0.8658571029754865
Columbus,-0.6667206909839481,0.8985624687631256
neighbors,0.5256523682740363,0.1500578282148224
abilities,0.046802301853438213,0.464680764716321
Circle,-0.40250096528341983,0.7828141371301309
trials,-0.9825391407242686,0.9720404729404826
employers,0.017743724039622356,0.48097560468112177
regards,-0.612981154111096,0.8865244973666777
beneficial,-0.7628523400217198,0.9301794485064514
Driving,0.546315898789699,0.14696144296509994
publications,-0.21168589019755932,0.6575367714511708
Yea,-0.6732366275524152,0.9007700722998502
:P,-0.7093476620395631,0.9152756169084608
contributed,-1.1158902894689802,0.9840264813492415
ANY,-1.1018681775344874,0.9836477105458682
basket,-0.07596307368369282,0.5594098578363903
Indeed,-0.42898135236910634,0.7961975247575095
texture,1.4409675962908466,0.002692325376071558
GO,-0.8924977822084562,0.9573523840031272
musicians,0.319249467541285,0.2670174232233731
Strategy,-0.10120666194353038,0.574116940295458
fruits,0.13909454403734595,0.3900837872771731
Dennis,-1.4342694401316483,0.9975267517657406
stats,-1.0590135242050966,0.9783929611981648
sec,-0.18459656600939428,0.6395106193886817
Explorer,0.26698577811971275,0.30646789710631617
spell,0.0899677131145256,0.4333184827614829
towns,0.4190313180660936,0.20610083446126004
adequate,-0.27243946817368,0.6970220386708872
grateful,0.4075177138365214,0.2090168065873701
Dictionary,-0.5207920394171983,0.8413745192115087
Francis,-1.393384506355505,0.9963013487311968
tourist,0.8754266741348719,0.044492877013904364
Knowledge,0.26235705141420645,0.3059274244899355
glory,1.1677424000797016,0.011359376051258696
dated,0.6419910089359763,0.1083022114960539
Stores,0.6155470347230056,0.11497834016412534
Kid,-1.1322838274440472,0.9857594198472067
authorized,-0.9317248166903132,0.963176173668688
Cast,-0.8612146266696523,0.9513740066382688
american,-0.5570974325664216,0.860897736770368
Agents,-0.7087012325740144,0.9176402032534257
Antique,0.6092091608451714,0.11971731320701051
Showing,0.18380006650498426,0.3670295630794389
interpretation,0.8071719092904269,0.06003872672407484
creativity,0.7155221548237952,0.08429969248258695
Heaven,-0.19737810065394054,0.6556727841257548
Fuck,-0.8140319710263232,0.9415902379892007
excitement,0.43174281380487795,0.20179606259998473
hi,-0.6577095425453922,0.8992116164425075
physically,-0.6708334634232354,0.9042702002783655
physician,0.24959965416192373,0.31759462981800624
browsing,-0.13027699226973005,0.5945917056045995
Menu,-1.0967758352494195,0.9820737462254758
Route,0.10992859991090233,0.4154355964376111
sake,-0.269439759946611,0.6978080393066702
armed,-0.7996795337142389,0.9370418033226116
Almost,-0.5477007269265529,0.8580994503766468
