,Valence_ES,Dominance_ES,Arousal_ES,Val_Dom,Dom_Aro,Aro_Val
0.0,"SignificanceResult(statistic=0.09480375858180055, pvalue=1.5542005790708622e-18)","SignificanceResult(statistic=-0.022988855301343068, pvalue=0.033510662930791815)","SignificanceResult(statistic=-0.10471480252192009, pvalue=2.7603470358526537e-22)","SignificanceResult(statistic=-0.20658298139233267, pvalue=4.4227358193753284e-83)","SignificanceResult(statistic=0.30866453003664224, pvalue=3.6048140715689315e-188)","SignificanceResult(statistic=0.45498369962270385, pvalue=0.0)"
0.2,"SignificanceResult(statistic=0.12927805450029792, pvalue=1.8601197000844134e-24)","SignificanceResult(statistic=-0.007174080029596228, pvalue=0.5727501484264548)","SignificanceResult(statistic=-0.05229967577574612, pvalue=3.881621142418756e-05)","SignificanceResult(statistic=-0.21620762927258474, pvalue=2.598719794520621e-66)","SignificanceResult(statistic=0.3148279134827444, pvalue=2.5758571335832578e-142)","SignificanceResult(statistic=0.4262493365666142, pvalue=1.784515849631842e-271)"
0.5,"SignificanceResult(statistic=0.10654255818536286, pvalue=2.619247440810344e-10)","SignificanceResult(statistic=0.011931741144139607, pvalue=0.480334184507911)","SignificanceResult(statistic=-0.010022511833288873, pvalue=0.5532965243749939)","SignificanceResult(statistic=-0.17580043411293828, pvalue=1.0676371790137177e-25)","SignificanceResult(statistic=0.3699733970756324, pvalue=5.214834375443953e-114)","SignificanceResult(statistic=0.40250601137381464, pvalue=1.697780663060205e-136)"
0.8,"SignificanceResult(statistic=0.09582152355458168, pvalue=5.2660130224934786e-05)","SignificanceResult(statistic=0.06212386846593055, pvalue=0.00884441468938827)","SignificanceResult(statistic=0.0696878183011181, pvalue=0.0033086660177643517)","SignificanceResult(statistic=-0.13883754030956452, pvalue=4.26235681675169e-09)","SignificanceResult(statistic=0.42882539360863514, pvalue=2.5633749346630886e-80)","SignificanceResult(statistic=0.3731319818862861, pvalue=9.610038767434186e-60)"
