,word,female_effect_size,p_value,pos
60656,showbiz,1.0063343919195793,0.0224399301783346,"[""showbiz""/INTJ]"
60657,Networked,1.154036363953027,0.0101952683199098,"[""Networked""/NOUN]"
60675,Cystic,1.0434937986123645,0.0193206744148917,"[""Cystic""/INTJ]"
60681,Eyelash,1.2509886359207774,0.0064507089371541,"[""Eyelash""/PUNCT]"
60692,Milly,1.1657316276738927,0.0098322277025533,"[""Milly""/INTJ]"
60696,TOPS,1.539184269170714,0.0010892000340015,"[""TOPS""/NOUN]"
60700,Indira,0.8399142696726162,0.0470824273974483,"[""Indira""/INTJ]"
60714,Balenciaga,1.425314706941223,0.0021825562076723,"[""Balenciaga""/INTJ]"
60729,Noire,1.3220305760328075,0.0039504929483453,"[""Noire""/PUNCT]"
60735,jolie,1.3052860017597152,0.0046680765230455,"[""jolie""/INTJ]"
60748,heart-shaped,1.1385849934820225,0.0116463773748703,"[""heart-shaped""/INTJ]"
60749,Velour,1.0710152435510276,0.015173744048255,"[""Velour""/PUNCT]"
60750,Gaby,1.0911047402628613,0.0143681229643184,"[""Gaby""/PUNCT]"
60751,BOGO,0.8428568678601768,0.0459091534318399,"[""BOGO""/PROPN]"
60755,Clearinghouse,0.9932543594321832,0.0240954526462136,"[""Clearinghouse""/NOUN]"
60768,Poppins,1.404198729694823,0.002436439900152,"[""Poppins""/PUNCT]"
60797,folate,1.187621364418361,0.0077574099053577,"[""folate""/INTJ]"
60803,orgasmic,1.2419126388081037,0.0072464797689626,"[""orgasmic""/INTJ]"
60808,.2.1,1.2800488217349384,0.0053779865809338,"""2.1""/NUM]"
60809,tina,1.563199281863707,0.0007588749498215,"[""tina""/PROPN]"
60812,Geri,1.406571939456986,0.0023600653076263,"[""Geri""/INTJ]"
60814,awkwardness,0.8285153084377247,0.0492596137284544,"[""awkwardness""/NOUN]"
60818,stephanie,1.3245718511411952,0.0047463355435658,"[""stephanie""/INTJ]"
60831,Tropez,0.9033087692573428,0.0362377409761409,"[""Tropez""/PUNCT]"
60836,Beet,0.9470366165295444,0.0283037581958165,"[""Beet""/INTJ]"
60848,Tahitian,1.0019520457802404,0.0218022819355151,"[""Tahitian""/INTJ]"
60849,CLS,0.8876920573602821,0.0365282076073867,"[""CLS""/NUM]"
60853,Cuties,1.2600712038067667,0.0061696747878737,"[""Cuties""/NOUN]"
60854,annie,1.1864129415762157,0.0094188409232365,"[""annie""/INTJ]"
60855,ASR,1.261088993721278,0.0059475426194081,"[""ASR""/NUM]"
60864,touristy,0.9214535498230768,0.0304723732565561,"[""touristy""/NOUN]"
