,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"""2010""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""2012""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""2012""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""2012""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""2013""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""21""/NUM]",0,0,0,0,2,2,N/A,N/A,N/A,N/A,-1.2815768366069153,-1.2815768366069153
"""22""/NUM]",0,0,0,0,2,2,N/A,N/A,N/A,N/A,-1.4726588431552625,-1.4726588431552625
"""23""/NUM]",0,0,0,0,2,2,N/A,N/A,N/A,N/A,-1.1819435640234193,-1.1819435640234193
"""24""/NUM]",0,0,0,0,2,2,N/A,N/A,N/A,N/A,-1.074336708083214,-1.074336708083214
"""25""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-0.970261288656736,-0.970261288656736
"""250""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.01270518608438
"""26""/NUM]",0,0,0,0,1,2,N/A,N/A,N/A,N/A,-1.292100223521738,-1.3604290917001656
"""27""/NUM]",0,0,0,0,1,2,N/A,N/A,N/A,N/A,-1.189730022446042,-1.1335396790398438
"""28""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.2323905645333348
"""287""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""29""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.2081288232364782
"""3""/PUNCT]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.8384495829306644
"""3.0""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""3.1""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""3.2""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""30""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-0.8312743285727857,-0.8312743285727857
"""30""/SYM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.0476563278250652,-1.0476563278250652
"""300""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.0974466862968055
"""308""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.3291835290274068
"""31""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.1440964497835968
"""32""/NUM]",0,0,0,0,0,3,N/A,N/A,N/A,N/A,N/A,-1.1822399669857153
"""33""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.03098040582925
"""34""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.0678784235077978
"""35""/NUM]",0,0,0,0,1,2,N/A,N/A,N/A,N/A,-1.0865142201214602,-1.101095802717825
"""357""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.287897124112758
"""36""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.234725531126978
"""37""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.4784781814428751
"""38""/NUM]",0,0,0,0,1,2,N/A,N/A,N/A,N/A,-1.648264997484571,-1.4383234871021155
"""39""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.2956898842900135
"""4""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.05083871288495,-1.05083871288495,-1.05083871288495
"""4""/PUNCT]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.0460510280092739
"""4.0""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""4.1""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""4.2""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
