,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"[""PRS""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PRWEB""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.0893084969840447,1.0893084969840447
"[""PRWeb""/NOUN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.239517255624378
"[""PS2""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PS3""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PSA""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PSD""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PSG""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PTA""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.3432664298924837,1.3432664298924837
"[""PTS""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PU""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,0.9697914071955164,0.9697914071955164,0.9697914071955164
"[""PULL""/VERB]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""PULSE""/PUNCT]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.1650238580015573
"[""PURE""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,0.8732378038139761,0.8732378038139761
"[""PURSE""/NOUN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.4063490225940165
"[""PUSSY""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.3038488127664236
"[""PWR""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.8930259595256083
