N Most Frequent Words,d > 0.00 female,d > 0.00 male,d > 0.20 female,d > 0.20 male,d > 0.50 female,d > 0.50 male,d > 0.80 female,d > 0.80 male
N = 100,35 (35%),65 (65%),17 (17%),83 (83%),4 (4%),96 (96%),3 (3%),97 (97%)
"N = 1,000",465 (46%),535 (54%),297 (30%),703 (70%),126 (13%),874 (87%),42 (4%),958 (96%)
"N = 10,000",5717 (57%),4283 (43%),4410 (44%),5590 (56%),2536 (25%),7464 (75%),1209 (12%),8791 (88%)
"N = 100,000",57982 (58%),42018 (42%),45541 (46%),54459 (54%),28048 (28%),71952 (72%),15062 (15%),84938 (85%)
